,LINK ID,ITS LINK ID,도로등급,연장(km),도로명,권역,시간적범위,평일주말,혼잡빈도강도,혼잡시간강도
170,1057489,0,시군도,0.418,진부령로,강원도  고성군,전일,평일,1,1
171,1057490,2660122800,일반국도,1.873,동해대로,강원도  고성군,전일,평일,35,45
172,1057491,2660122900,일반국도,1.873,동해대로,강원도  고성군,전일,평일,22,28
173,1057492,0,시군도,0.042,진부령로,강원도  고성군,전일,평일,1,1
174,1057493,0,시군도,0.118,진부령로,강원도  고성군,전일,평일,1,1
175,1057494,2660012501,시군도,1.183,진부령로,강원도  고성군,전일,평일,2,5
176,1057495,2660012601,시군도,1.183,진부령로,강원도  고성군,전일,평일,34,65
177,1057496,2660012601,시군도,0.113,진부령로,강원도  고성군,전일,평일,1,1
178,1057497,2660012501,시군도,0.113,진부령로,강원도  고성군,전일,평일,1,1
179,1057498,0,시군도,0.056,진부령로,강원도  고성군,전일,평일,99,99
180,1057499,0,시군도,0.227,동해대로,강원도  고성군,전일,평일,1,1
46,1072983,0,시군도,0.503,수복로,강원도  속초시,전일,평일,26,57
47,1072984,0,시군도,0.503,수복로,강원도  속초시,전일,평일,31,58
48,1072985,2550006600,일반국도,0.17,동해대로,강원도  속초시,전일,평일,99,99
49,1072986,"25,500,067,002,550,000,000",일반국도,0.337,동해대로,강원도  속초시,전일,평일,99,99
50,1072987,2550114800,시군도,0.258,온천로,강원도  속초시,전일,평일,15,33
51,1072988,2550114700,시군도,0.22,온천로,강원도  속초시,전일,평일,22,50
52,1072989,2550001200,일반국도,0.32,동해대로,강원도  속초시,전일,평일,99,99
53,1072990,"255,000,130,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,0.812,동해대로,강원도  속초시,전일,평일,99,99
54,1072991,0,시군도,0.453,수복로,강원도  속초시,전일,평일,34,59
55,1072992,0,시군도,0.518,중앙로,강원도  속초시,전일,평일,12,36
56,1072993,2550011000,국가지원지방도,0.236,장안로,강원도  속초시,전일,평일,99,99
57,1072994,0,시군도,0.625,수복로,강원도  속초시,전일,평일,21,40
58,1072995,0,시군도,0.238,청학로,강원도  속초시,전일,평일,66,88
59,1072996,0,시군도,0.049,청학로,강원도  속초시,전일,평일,76,98
60,1072997,0,시군도,0.734,수복로,강원도  속초시,전일,평일,30,57
61,1072998,0,시군도,0.369,수복로,강원도  속초시,전일,평일,35,64
62,1072999,0,시군도,0.358,중앙시장로,강원도  속초시,전일,평일,50,78
63,1073000,0,시군도,0.279,중앙시장로,강원도  속초시,전일,평일,96,99
64,1073001,0,시군도,0.734,수복로,강원도  속초시,전일,평일,65,87
65,1073002,0,시군도,0.625,수복로,강원도  속초시,전일,평일,16,34
66,1073003,0,시군도,0.279,중앙시장로,강원도  속초시,전일,평일,97,99
67,1073004,0,시군도,0.358,중앙시장로,강원도  속초시,전일,평일,72,90
68,1073005,0,시군도,0.82,중앙로,강원도  속초시,전일,평일,64,82
69,1073006,0,시군도,0.496,번영로,강원도  속초시,전일,평일,50,73
70,1073007,0,시군도,0.496,교동로,강원도  속초시,전일,평일,34,60
71,1073008,0,시군도,0.369,수복로,강원도  속초시,전일,평일,9,33
72,1073009,0,시군도,0.453,수복로,강원도  속초시,전일,평일,23,51
73,1073010,0,시군도,0.238,청학로,강원도  속초시,전일,평일,90,98
74,1073011,0,시군도,0.604,번영로,강원도  속초시,전일,평일,55,71
75,1073012,0,시군도,0.127,교동로,강원도  속초시,전일,평일,80,96
76,1073013,0,시군도,1.531,청초호반로,강원도  속초시,전일,평일,27,52
77,1073014,0,시군도,1.531,청초호반로,강원도  속초시,전일,평일,22,49
78,1073015,0,시군도,0.067,설악금강대교로,강원도  속초시,전일,평일,49,84
79,1073016,0,시군도,0.368,중앙로,강원도  속초시,전일,평일,40,64
80,1073017,0,시군도,0.343,중앙로,강원도  속초시,전일,평일,27,54
81,1073018,0,시군도,0.771,엑스포로,강원도  속초시,전일,평일,15,35
82,1073019,0,시군도,0.127,교동로,강원도  속초시,전일,평일,85,95
83,1073020,0,시군도,0.771,청초호반로,강원도  속초시,전일,평일,35,56
84,1073021,0,시군도,0.128,,강원도  속초시,전일,평일,40,83
85,1073022,0,시군도,0.128,,강원도  속초시,전일,평일,83,99
86,1088217,"255,000,830,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",국가지원지방도,2.047,미시령로,강원도  속초시,전일,평일,99,99
87,1088218,"255,000,840,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",국가지원지방도,2.047,미시령로,강원도  속초시,전일,평일,99,99
88,1088219,0,시군도,2.978,청대로,강원도  속초시,전일,평일,4,14
89,1088220,0,시군도,2.978,청대로,강원도  속초시,전일,평일,5,17
90,1088221,0,시군도,2.615,조양로,강원도  속초시,전일,평일,21,48
91,1088222,0,시군도,2.615,조양로,강원도  속초시,전일,평일,28,51
92,1089905,2550113400,시군도,1.686,관광로,강원도  속초시,전일,평일,10,27
93,1089906,"25,501,136,002,550,100,000",시군도,2.799,온천로,강원도  속초시,전일,평일,10,22
94,1093081,0,시군도,1.005,번영로,강원도  속초시,전일,평일,11,29
